180000,Martin Nový,363685
181107,Epic Internet a.s.,2857615
181108,BlueNet, s.r.o.,2811006
181109,Valza, a.s.,2923269
181110,Martin Nový,20457
181111,BlueNet, s.r.o.,1831598
181112,GreenStyles, a.s.,2191041
181113,Valza, a.s.,2262233
181115,GreenStyles, a.s.,2710498
181116,Martin Nový,2832364
181118,Big žirafa s.r.o.,2065226
181119,BlueNet, s.r.o.,2854737
181120,BlueNet, s.r.o.,2411827
181122,BlueNet, s.r.o.,2597378
181124,ZCZ, s.r.o.,1169060
181125,Big žirafa s.r.o.,662477
181126,Valza, a.s.,2059807
181129,GreenStyles, a.s.,823626
181130,Epic Internet a.s.,1758430
181131,Epic Internet a.s.,375747
181132,Martin Nový,773441
181133,Martin Nový,684029
181134,Valza, a.s.,237063
181136,Epic Internet a.s.,164907
181138,GreenStyles, a.s.,65325
181139,Epic Internet a.s.,2480559
181140,GreenStyles, a.s.,1569833
181141,ZCZ, s.r.o.,2232509
181142,Big žirafa s.r.o.,-7808
181143,BlueNet, s.r.o.,669375
181144,Martin Nový,1001668
181145,Martin Nový,1513756
181146,BlueNet, s.r.o.,908604
181147,BlueNet, s.r.o.,1947009
181148,BlueNet, s.r.o.,1210739
181150,BlueNet, s.r.o.,1892055
181152,GreenStyles, a.s.,607457
181153,Epic Internet a.s.,110697
181154,ZCZ, s.r.o.,1003866
181155,Big žirafa s.r.o.,1048145
181156,ZCZ, s.r.o.,2023285
181157,ZCZ, s.r.o.,584316
181158,BlueNet, s.r.o.,952201
181160,ZCZ, s.r.o.,415725
181162,Valza, a.s.,1884137
181166,BlueNet, s.r.o.,1941965
181167,GreenStyles, a.s.,45334
181168,ZCZ, s.r.o.,557980
181169,GreenStyles, a.s.,68836
181170,Martin Nový,635282
181171,GreenStyles, a.s.,200849
181172,Epic Internet a.s.,1522615
181174,ZCZ, s.r.o.,1849487
181175,GreenStyles, a.s.,1280004
181176,BlueNet, s.r.o.,2779793
181177,Valza, a.s.,759776
181178,ZCZ, s.r.o.,1506550
181179,BlueNet, s.r.o.,2321826
181180,BlueNet, s.r.o.,411138
181181,Martin Nový,1355844
181182,Epic Internet a.s.,1294754
181183,Epic Internet a.s.,673752
181188,GreenStyles, a.s.,2207746
181190,Martin Nový,1610145
181192,Epic Internet a.s.,1760799
181194,Valza, a.s.,1621411
181196,BlueNet, s.r.o.,1404001
181198,Big žirafa s.r.o.,361996
181200,ZCZ, s.r.o.,1060317
181203,GreenStyles, a.s.,2038991
181206,Big žirafa s.r.o.,2022362
181207,BlueNet, s.r.o.,740573
181208,Big žirafa s.r.o.,2323306
181212,Valza, a.s.,2674482
181213,GreenStyles, a.s.,80233
181214,BlueNet, s.r.o.,1142123
181215,BlueNet, s.r.o.,450646
181216,ZCZ, s.r.o.,169081
181217,Valza, a.s.,2303504
181218,Big žirafa s.r.o.,639126
181219,GreenStyles, a.s.,14489
181220,Epic Internet a.s.,1500402
181223,GreenStyles, a.s.,2140329
181225,Epic Internet a.s.,1817382
181226,Epic Internet a.s.,163523
181227,Valza, a.s.,1034961
181228,BlueNet, s.r.o.,1468979
181229,GreenStyles, a.s.,2985105
181230,Epic Internet a.s.,1438079
181231,Epic Internet a.s.,209384
181232,Valza, a.s.,1426080
181233,Valza, a.s.,2606023
181234,Epic Internet a.s.,1112617
181235,BlueNet, s.r.o.,1539315
181237,Epic Internet a.s.,2009886
181238,BlueNet, s.r.o.,278677
181239,BlueNet, s.r.o.,2636820
181240,ZCZ, s.r.o.,1797875
181241,BlueNet, s.r.o.,2025107
181243,BlueNet, s.r.o.,2802357
181244,GreenStyles, a.s.,130291
181245,Martin Nový,2406672
181246,ZCZ, s.r.o.,2766427
181247,Big žirafa s.r.o.,1848904
181248,BlueNet, s.r.o.,643418
181249,BlueNet, s.r.o.,439409
181251,Martin Nový,317325
181252,GreenStyles, a.s.,2159067
181253,GreenStyles, a.s.,520107
181255,Epic Internet a.s.,1980655
181256,Valza, a.s.,1497712
181257,Epic Internet a.s.,1345223
181258,Epic Internet a.s.,877445
181259,ZCZ, s.r.o.,403254
181262,GreenStyles, a.s.,139584
181265,BlueNet, s.r.o.,1069013
181267,Valza, a.s.,2402822
181268,Epic Internet a.s.,1812393
181269,Epic Internet a.s.,2527172
181271,Martin Nový,666505
181272,GreenStyles, a.s.,668844
181275,Valza, a.s.,1565893
181276,BlueNet, s.r.o.,1986149
181277,BlueNet, s.r.o.,2979880
181278,Valza, a.s.,1902809
181279,Big žirafa s.r.o.,2081022
181280,Valza, a.s.,2022808
181282,Valza, a.s.,2640812
181283,Epic Internet a.s.,1301407
181284,Big žirafa s.r.o.,2755135
181285,ZCZ, s.r.o.,2571669
181286,Epic Internet a.s.,159283
181288,Martin Nový,164727
181289,BlueNet, s.r.o.,2765420
181292,Valza, a.s.,1830345
181293,Big žirafa s.r.o.,2094960
181294,Big žirafa s.r.o.,1929457
181297,Martin Nový,2718673
181299,ZCZ, s.r.o.,1193688
181300,Valza, a.s.,745592
181301,BlueNet, s.r.o.,294141
181303,Epic Internet a.s.,526768
181304,BlueNet, s.r.o.,1306610
181305,ZCZ, s.r.o.,473459
181306,Big žirafa s.r.o.,626912
181307,GreenStyles, a.s.,2229686
181309,GreenStyles, a.s.,237666
181310,Big žirafa s.r.o.,2148852
181311,ZCZ, s.r.o.,756754
181313,Epic Internet a.s.,1260115
181314,Epic Internet a.s.,1112105
181316,Big žirafa s.r.o.,2816332
181317,Big žirafa s.r.o.,1659296
181318,ZCZ, s.r.o.,2131177
181319,GreenStyles, a.s.,2200171
181322,Big žirafa s.r.o.,1650680
181323,Epic Internet a.s.,1617343
181324,Martin Nový,2501172
181325,Big žirafa s.r.o.,2856729
181333,Big žirafa s.r.o.,1467225
181335,Epic Internet a.s.,2705408
181336,Martin Nový,349360
181339,Big žirafa s.r.o.,2914914
181341,Big žirafa s.r.o.,1009279
181342,GreenStyles, a.s.,1493904
181343,ZCZ, s.r.o.,776236
181344,Big žirafa s.r.o.,2515636
181347,Valza, a.s.,2194958
181348,Big žirafa s.r.o.,523374
181350,Big žirafa s.r.o.,2117800
181351,Big žirafa s.r.o.,1744976
181352,Martin Nový,2087107
181353,ZCZ, s.r.o.,1177058
181355,ZCZ, s.r.o.,994864
181356,BlueNet, s.r.o.,1959881
181358,ZCZ, s.r.o.,548547
181360,GreenStyles, a.s.,1824575
181361,Martin Nový,2872092
181363,Valza, a.s.,2090163
181365,ZCZ, s.r.o.,2727216
181366,Big žirafa s.r.o.,1870587
181369,Valza, a.s.,930700
181371,Epic Internet a.s.,114394
181373,Epic Internet a.s.,331753
181374,GreenStyles, a.s.,2020872
181375,GreenStyles, a.s.,496506
181376,ZCZ, s.r.o.,2117629
181377,Valza, a.s.,482004
181379,Martin Nový,1891292
181381,GreenStyles, a.s.,1594910
181383,BlueNet, s.r.o.,1233295
181384,Martin Nový,1179099
181387,Epic Internet a.s.,2439618
181388,Valza, a.s.,2271406
181390,Big žirafa s.r.o.,2992566
181391,Valza, a.s.,1789957
181392,Epic Internet a.s.,960276
181393,GreenStyles, a.s.,2840887
181394,GreenStyles, a.s.,2147030
181395,BlueNet, s.r.o.,1694714
181396,Big žirafa s.r.o.,1665444
181397,Martin Nový,337821
181398,BlueNet, s.r.o.,2486860
181399,Big žirafa s.r.o.,2761239
181400,Martin Nový,2734303
181401,BlueNet, s.r.o.,525391
181404,Valza, a.s.,2540782
181405,Epic Internet a.s.,226082
181406,Valza, a.s.,492986
181407,Epic Internet a.s.,2126069
181408,BlueNet, s.r.o.,2483593
181409,GreenStyles, a.s.,2261102
181410,Big žirafa s.r.o.,2773076
181411,Valza, a.s.,629098
181412,BlueNet, s.r.o.,2396709
181413,ZCZ, s.r.o.,1610789
181416,Epic Internet a.s.,1298860
181417,ZCZ, s.r.o.,2047365
181418,BlueNet, s.r.o.,2598610
181419,BlueNet, s.r.o.,2611420
181420,Valza, a.s.,2658083
181424,GreenStyles, a.s.,2897699
181425,GreenStyles, a.s.,139234
181426,Martin Nový,586361
181430,Epic Internet a.s.,2171883
181435,GreenStyles, a.s.,719586
181436,ZCZ, s.r.o.,960127
181437,Big žirafa s.r.o.,1328466
181438,Epic Internet a.s.,325889
181439,Martin Nový,2813695
181440,Valza, a.s.,701415
181445,Epic Internet a.s.,2617992
181446,Martin Nový,783609
181447,BlueNet, s.r.o.,1595315
181448,Epic Internet a.s.,1066659
181449,Martin Nový,2726668
181450,BlueNet, s.r.o.,2272434
181451,ZCZ, s.r.o.,226787
181452,ZCZ, s.r.o.,2639058
181453,Big žirafa s.r.o.,2066683
181456,Epic Internet a.s.,1804510
181458,BlueNet, s.r.o.,691066
181460,Valza, a.s.,428090
181461,Valza, a.s.,309110
181462,Epic Internet a.s.,1165770
181463,Big žirafa s.r.o.,1965987
181464,BlueNet, s.r.o.,118441
181465,GreenStyles, a.s.,1641682
181468,ZCZ, s.r.o.,132565
181469,Epic Internet a.s.,2527893
181470,BlueNet, s.r.o.,2129296
181472,Epic Internet a.s.,2207267
181473,Epic Internet a.s.,2327189
181476,Epic Internet a.s.,1727798
181477,ZCZ, s.r.o.,962151
181479,ZCZ, s.r.o.,2551591
181480,ZCZ, s.r.o.,179187
181482,Valza, a.s.,1476356
181483,Valza, a.s.,1501753
181485,Epic Internet a.s.,2059001
181486,Martin Nový,2210930
181488,ZCZ, s.r.o.,2581343
181489,Valza, a.s.,941350
181490,BlueNet, s.r.o.,2218539
181491,Martin Nový,1385229
181492,GreenStyles, a.s.,1028594
181493,Valza, a.s.,309513
181495,Epic Internet a.s.,1309877
181496,Martin Nový,1771143
181498,ZCZ, s.r.o.,1502048
181500,Big žirafa s.r.o.,2188817
181501,Valza, a.s.,2610188
181502,Valza, a.s.,2858014
181504,Big žirafa s.r.o.,2386132
181505,Valza, a.s.,-16890
181507,Epic Internet a.s.,706869
181509,ZCZ, s.r.o.,1094512
181510,Big žirafa s.r.o.,847178
181511,Valza, a.s.,762775
181512,GreenStyles, a.s.,2779882
181513,Martin Nový,1265279
181514,Epic Internet a.s.,1064116
181516,BlueNet, s.r.o.,1365446
181517,BlueNet, s.r.o.,1728487
181518,Big žirafa s.r.o.,1440432
181519,Valza, a.s.,2042396
181520,Martin Nový,2146225
181521,Valza, a.s.,1812179
181524,BlueNet, s.r.o.,2868817
181525,GreenStyles, a.s.,1101274
181528,GreenStyles, a.s.,522263
181529,BlueNet, s.r.o.,2581287
181530,Valza, a.s.,-7724
181531,ZCZ, s.r.o.,1057950
181533,Big žirafa s.r.o.,1684630
181534,Valza, a.s.,1850620
181537,Valza, a.s.,2791151
181538,Valza, a.s.,186030
181539,Martin Nový,1329506
181541,Epic Internet a.s.,2696833
181545,Valza, a.s.,575358
181547,Martin Nový,1203665
181548,GreenStyles, a.s.,331381
181549,Martin Nový,1475600
181550,Epic Internet a.s.,58171
181551,ZCZ, s.r.o.,1848210
181552,GreenStyles, a.s.,1430974
181553,ZCZ, s.r.o.,1027769
181554,Epic Internet a.s.,1260059
181559,GreenStyles, a.s.,1863672
181560,Big žirafa s.r.o.,1016368
181561,Epic Internet a.s.,2033377
181562,Martin Nový,966172
181563,Valza, a.s.,2234149
181564,Valza, a.s.,920967
181565,Valza, a.s.,864396
181567,Big žirafa s.r.o.,2986941
181568,Big žirafa s.r.o.,1844653
181569,GreenStyles, a.s.,2554776
181571,BlueNet, s.r.o.,1150931
181572,Epic Internet a.s.,2923319
181573,Valza, a.s.,2449373
181574,BlueNet, s.r.o.,1622390
181575,Valza, a.s.,1360327
181576,BlueNet, s.r.o.,2876950
181578,Valza, a.s.,2654813
181579,Martin Nový,2726300
181580,Big žirafa s.r.o.,1420346
181581,Valza, a.s.,367086
181582,Martin Nový,2668898
181583,Epic Internet a.s.,720714
181584,BlueNet, s.r.o.,2212448
181585,Martin Nový,2989501
181588,Epic Internet a.s.,396935
181589,BlueNet, s.r.o.,1705015
181591,Epic Internet a.s.,2905642
181592,Martin Nový,725583
181593,ZCZ, s.r.o.,755552
181596,GreenStyles, a.s.,269490
181598,Epic Internet a.s.,2503869
181599,Big žirafa s.r.o.,2437832
181601,ZCZ, s.r.o.,607866
181603,ZCZ, s.r.o.,755562
181604,Epic Internet a.s.,1948049
181605,ZCZ, s.r.o.,1689997
181606,Martin Nový,1028350
181608,Epic Internet a.s.,215327
181609,Epic Internet a.s.,2045963
181611,ZCZ, s.r.o.,2237656
181613,Epic Internet a.s.,1310450
181616,ZCZ, s.r.o.,1142253
181619,BlueNet, s.r.o.,794989
181620,Big žirafa s.r.o.,2398530
181621,Epic Internet a.s.,690935
181624,Martin Nový,1877045
181632,GreenStyles, a.s.,1652140
181633,Martin Nový,477713
181634,Valza, a.s.,548197
181637,Martin Nový,1783491
181638,GreenStyles, a.s.,1406795
181640,ZCZ, s.r.o.,2168480
181641,ZCZ, s.r.o.,2280726
181642,Big žirafa s.r.o.,1847366
181643,GreenStyles, a.s.,2327887
181644,Big žirafa s.r.o.,345931
181645,ZCZ, s.r.o.,2210544
181646,Martin Nový,2606279
181648,Epic Internet a.s.,1760209
181649,Valza, a.s.,2320806
181650,Big žirafa s.r.o.,2727139
181652,ZCZ, s.r.o.,2349379
181653,BlueNet, s.r.o.,1633541
181654,BlueNet, s.r.o.,2816562
181655,Big žirafa s.r.o.,303472
181656,Big žirafa s.r.o.,1515546
181658,ZCZ, s.r.o.,2223380
181659,ZCZ, s.r.o.,147635
181660,Epic Internet a.s.,2647367
181661,Epic Internet a.s.,474660
181662,BlueNet, s.r.o.,706671
181667,GreenStyles, a.s.,1970078
181668,Valza, a.s.,1996223
181669,Epic Internet a.s.,146739
181672,ZCZ, s.r.o.,2980149
181673,GreenStyles, a.s.,2777318
181674,Martin Nový,2445556
181676,Martin Nový,2517681
181677,Big žirafa s.r.o.,1718354
181678,ZCZ, s.r.o.,2528893
181679,Martin Nový,-11965
181680,GreenStyles, a.s.,936604
181681,ZCZ, s.r.o.,2313887
181682,Epic Internet a.s.,2337015
181683,Big žirafa s.r.o.,144149
181685,Martin Nový,2864749
181687,ZCZ, s.r.o.,1232152
181688,Big žirafa s.r.o.,812314
181690,Big žirafa s.r.o.,2490563
181691,Epic Internet a.s.,1716833
181693,Valza, a.s.,1874183
181695,Big žirafa s.r.o.,2766994
181696,Martin Nový,954434
181698,ZCZ, s.r.o.,2316438
181699,BlueNet, s.r.o.,2936355
181700,Epic Internet a.s.,348935
181702,Big žirafa s.r.o.,2167847
181704,ZCZ, s.r.o.,135773
181705,BlueNet, s.r.o.,1232613
181706,BlueNet, s.r.o.,2586147
181707,BlueNet, s.r.o.,346801
181710,GreenStyles, a.s.,2707201
181711,Valza, a.s.,2085445
181712,BlueNet, s.r.o.,633208
181714,Martin Nový,918643
181715,Valza, a.s.,378041
181716,Martin Nový,2340786
181717,ZCZ, s.r.o.,1073421
181719,BlueNet, s.r.o.,1266916
181722,Epic Internet a.s.,848256
181723,Martin Nový,2097164
181724,Epic Internet a.s.,1180227
181725,GreenStyles, a.s.,99103
181726,ZCZ, s.r.o.,835162
181729,BlueNet, s.r.o.,1101486
181730,Valza, a.s.,2296925
181731,GreenStyles, a.s.,1964652
181732,ZCZ, s.r.o.,1960119
181733,ZCZ, s.r.o.,1899927
181736,Epic Internet a.s.,541721
181737,GreenStyles, a.s.,2621046
181738,Valza, a.s.,-18145
181740,Valza, a.s.,1345586
181742,BlueNet, s.r.o.,62672
181747,BlueNet, s.r.o.,87253
181748,GreenStyles, a.s.,1082558
181749,Valza, a.s.,2600785
181750,Epic Internet a.s.,90989
181751,GreenStyles, a.s.,2538858
181754,Valza, a.s.,2577047
181755,Martin Nový,2657843
181759,BlueNet, s.r.o.,2669925
181761,Big žirafa s.r.o.,159511
181763,GreenStyles, a.s.,2355709
181764,BlueNet, s.r.o.,2991739
181765,BlueNet, s.r.o.,2780685
181768,Epic Internet a.s.,673784
181769,Epic Internet a.s.,511950
181771,Big žirafa s.r.o.,2325860
181773,Epic Internet a.s.,1489095
181775,Martin Nový,1834175
181778,Martin Nový,2163908
181779,Valza, a.s.,2906384
181781,BlueNet, s.r.o.,2127722
181783,Epic Internet a.s.,1535599
181784,Valza, a.s.,369593
181785,Big žirafa s.r.o.,2813910
181789,Martin Nový,614349
181790,ZCZ, s.r.o.,287139
181791,ZCZ, s.r.o.,2776978
181793,BlueNet, s.r.o.,2340499
181794,ZCZ, s.r.o.,807873
181795,BlueNet, s.r.o.,765021
181796,Valza, a.s.,2057135
181799,GreenStyles, a.s.,1946810
181800,BlueNet, s.r.o.,828689
181801,ZCZ, s.r.o.,1036238
181802,ZCZ, s.r.o.,377488
181803,BlueNet, s.r.o.,729448
181805,Martin Nový,2049247
181807,ZCZ, s.r.o.,72118
181810,BlueNet, s.r.o.,533418
181811,GreenStyles, a.s.,1615605
181812,Martin Nový,2568797
181813,GreenStyles, a.s.,2207411
181815,Epic Internet a.s.,1935614
181816,Epic Internet a.s.,53922
181817,Big žirafa s.r.o.,974338
181818,Epic Internet a.s.,414876
181819,GreenStyles, a.s.,1061971
181822,Epic Internet a.s.,1211464
181825,ZCZ, s.r.o.,2898741
181826,Valza, a.s.,2665833
181828,Martin Nový,653539
181833,Epic Internet a.s.,1696050
181836,Martin Nový,2659574
181837,Martin Nový,1071558
181838,Big žirafa s.r.o.,40926
181840,BlueNet, s.r.o.,1634852
181842,Epic Internet a.s.,1030402
181843,Big žirafa s.r.o.,485343
181844,Valza, a.s.,1643697
181845,Valza, a.s.,2499867
181846,Valza, a.s.,313954
181847,ZCZ, s.r.o.,2905210
181848,ZCZ, s.r.o.,1521330
181849,BlueNet, s.r.o.,1782772
181851,Martin Nový,719176
181854,GreenStyles, a.s.,1193664
181855,Big žirafa s.r.o.,626231
181856,Martin Nový,788169
181857,Epic Internet a.s.,195321
181858,Big žirafa s.r.o.,2657549
181862,Valza, a.s.,125827
181863,Martin Nový,2527381
181864,Martin Nový,1340421
181866,Epic Internet a.s.,1869666
181869,Epic Internet a.s.,414734
181871,GreenStyles, a.s.,561107
181872,ZCZ, s.r.o.,967055
181873,Epic Internet a.s.,2242193
181875,BlueNet, s.r.o.,1761401
181876,Martin Nový,583767
181877,GreenStyles, a.s.,1357260
181878,Epic Internet a.s.,2128722
181880,Valza, a.s.,2911303
181881,Epic Internet a.s.,2260729
181882,Martin Nový,100810
181883,GreenStyles, a.s.,2835039
181885,Epic Internet a.s.,875145
181886,GreenStyles, a.s.,479031
181887,Martin Nový,402046
181889,BlueNet, s.r.o.,2887347
181890,GreenStyles, a.s.,781603
181892,Valza, a.s.,236738
181893,BlueNet, s.r.o.,1472247
181894,BlueNet, s.r.o.,1640474
181897,Epic Internet a.s.,1837939
181898,Valza, a.s.,1540821
181899,GreenStyles, a.s.,2781424
181900,GreenStyles, a.s.,2110241
181901,GreenStyles, a.s.,2510252
181902,GreenStyles, a.s.,2593900
181903,Valza, a.s.,250324
181904,Big žirafa s.r.o.,2551528
181905,Epic Internet a.s.,1885397
181906,ZCZ, s.r.o.,2177974
181907,ZCZ, s.r.o.,1552328
181908,Epic Internet a.s.,2515033
181909,Valza, a.s.,2009860
181913,ZCZ, s.r.o.,2448905
181914,ZCZ, s.r.o.,967068
181916,Epic Internet a.s.,1103910
181918,ZCZ, s.r.o.,759602
181920,Martin Nový,79559
181921,ZCZ, s.r.o.,1882808
181922,Valza, a.s.,478917
181923,Big žirafa s.r.o.,1948925
181924,Epic Internet a.s.,1159547
181925,ZCZ, s.r.o.,1214811
181926,Big žirafa s.r.o.,1942017
181927,Martin Nový,2218331
181930,Valza, a.s.,1087340
181931,Martin Nový,1693945
181932,GreenStyles, a.s.,2209346
181933,Valza, a.s.,704482
181934,Valza, a.s.,2873770
181937,ZCZ, s.r.o.,92031
181938,ZCZ, s.r.o.,1359886
181939,Big žirafa s.r.o.,1043403
181940,GreenStyles, a.s.,401659
181942,Epic Internet a.s.,2595520
181944,Epic Internet a.s.,665429
181945,Valza, a.s.,2210739
181946,Valza, a.s.,1369571
181948,ZCZ, s.r.o.,1416750
181950,ZCZ, s.r.o.,1890799
181952,Big žirafa s.r.o.,1938673
181953,GreenStyles, a.s.,1868701
181954,Martin Nový,2994223
181955,Big žirafa s.r.o.,2549932
181956,Big žirafa s.r.o.,1404021
181957,Epic Internet a.s.,1301010
181958,ZCZ, s.r.o.,4357
181959,Epic Internet a.s.,534280
181960,Big žirafa s.r.o.,2381004
181961,Big žirafa s.r.o.,1841883
181962,GreenStyles, a.s.,1964136
181964,ZCZ, s.r.o.,2369636
181967,Martin Nový,2654256
181968,Big žirafa s.r.o.,385014
181969,GreenStyles, a.s.,1055324
181971,Big žirafa s.r.o.,940106
181972,GreenStyles, a.s.,2489262
181975,Epic Internet a.s.,1788696
181976,BlueNet, s.r.o.,2303941
181978,Martin Nový,106807
181980,ZCZ, s.r.o.,602998
181984,Big žirafa s.r.o.,2805376
181985,ZCZ, s.r.o.,458406
181986,GreenStyles, a.s.,2862403
181988,Epic Internet a.s.,389521
181989,Epic Internet a.s.,2821406
181990,ZCZ, s.r.o.,1701057
181991,Valza, a.s.,799739
181992,Big žirafa s.r.o.,1268865
181995,Epic Internet a.s.,872177
181996,Valza, a.s.,33719
181997,GreenStyles, a.s.,1794751
181998,Epic Internet a.s.,2678217
181999,GreenStyles, a.s.,28784
182001,ZCZ, s.r.o.,1860112
182002,Martin Nový,1632103
182004,Valza, a.s.,2924973
182005,BlueNet, s.r.o.,2092641
182006,ZCZ, s.r.o.,901102
182007,Valza, a.s.,1776898
182008,Valza, a.s.,2525032
182009,BlueNet, s.r.o.,657241
182010,Epic Internet a.s.,2988735
182011,BlueNet, s.r.o.,2003531
182012,Epic Internet a.s.,2569805
182014,Big žirafa s.r.o.,1398042
182015,Big žirafa s.r.o.,-10514
182018,GreenStyles, a.s.,2974319
182019,Big žirafa s.r.o.,1546013
182020,Valza, a.s.,267050
182021,Martin Nový,1499998
182022,Big žirafa s.r.o.,1541844
182023,Martin Nový,2137400
182024,BlueNet, s.r.o.,36720
182025,ZCZ, s.r.o.,2416530
182026,BlueNet, s.r.o.,2507409
182029,GreenStyles, a.s.,2456196
182030,GreenStyles, a.s.,2572724
182031,Epic Internet a.s.,828082
182032,Martin Nový,1480607
182033,GreenStyles, a.s.,740315
182035,Epic Internet a.s.,1201915
182036,BlueNet, s.r.o.,823627
182038,Big žirafa s.r.o.,2862773
182040,BlueNet, s.r.o.,2768784
182042,GreenStyles, a.s.,2136819
182046,ZCZ, s.r.o.,2323608
182047,ZCZ, s.r.o.,42510
182048,BlueNet, s.r.o.,1900662
182049,Valza, a.s.,665308
182051,ZCZ, s.r.o.,2309163
182055,GreenStyles, a.s.,1960827
182057,Big žirafa s.r.o.,268331
182058,GreenStyles, a.s.,2899251
182060,ZCZ, s.r.o.,2915599
182061,BlueNet, s.r.o.,48199
182063,GreenStyles, a.s.,870726
182064,Valza, a.s.,1717451
182065,Big žirafa s.r.o.,1996045
182066,Epic Internet a.s.,687234
182068,ZCZ, s.r.o.,2674865
182072,Valza, a.s.,2651925
182077,ZCZ, s.r.o.,2949163
182078,Big žirafa s.r.o.,23986
182080,Big žirafa s.r.o.,2611130
182081,Valza, a.s.,969074
182082,Big žirafa s.r.o.,826276
182083,Valza, a.s.,425962
182084,ZCZ, s.r.o.,1114261
182086,ZCZ, s.r.o.,1075164
182088,Epic Internet a.s.,523804
182090,GreenStyles, a.s.,1081178
182092,Martin Nový,366441
182093,GreenStyles, a.s.,2916088
182094,Martin Nový,2791522
182095,ZCZ, s.r.o.,2436396
182096,Martin Nový,1122086
182097,BlueNet, s.r.o.,1000365
182099,GreenStyles, a.s.,673884
182100,Valza, a.s.,2098160
182101,Valza, a.s.,1977997
182102,Valza, a.s.,1645463
182103,Big žirafa s.r.o.,782501
182105,Big žirafa s.r.o.,941306
182108,Big žirafa s.r.o.,1975831
182109,BlueNet, s.r.o.,2090922
182110,GreenStyles, a.s.,1098415
182111,GreenStyles, a.s.,1988970
182112,GreenStyles, a.s.,2793357
182113,Martin Nový,2742821
182114,BlueNet, s.r.o.,1874162
182115,Big žirafa s.r.o.,2516643
182116,ZCZ, s.r.o.,839730
182117,ZCZ, s.r.o.,1412465
182118,BlueNet, s.r.o.,2003421
182119,ZCZ, s.r.o.,281192
182120,Big žirafa s.r.o.,2433656
182121,Epic Internet a.s.,1075029
182122,BlueNet, s.r.o.,341554
182123,ZCZ, s.r.o.,252588
182124,Valza, a.s.,2214455
182125,Martin Nový,386542
182126,Big žirafa s.r.o.,2779830
182127,Martin Nový,1058482
182129,Big žirafa s.r.o.,2162087
182131,BlueNet, s.r.o.,1883291
182132,Epic Internet a.s.,292865
182133,Epic Internet a.s.,1750759
182134,GreenStyles, a.s.,2480395
182135,Epic Internet a.s.,1123417
182136,BlueNet, s.r.o.,847042
182137,BlueNet, s.r.o.,2752357
182138,Epic Internet a.s.,1716289
182139,GreenStyles, a.s.,154370
182140,Martin Nový,1802589
182141,Epic Internet a.s.,512510
182142,Big žirafa s.r.o.,176118
182144,Big žirafa s.r.o.,2288761
182145,Valza, a.s.,966925
182146,Epic Internet a.s.,2471544
182147,Big žirafa s.r.o.,1896878
182149,GreenStyles, a.s.,414056
182150,ZCZ, s.r.o.,885733
182152,Big žirafa s.r.o.,216671
182154,GreenStyles, a.s.,2954135
182157,Valza, a.s.,321557
182158,GreenStyles, a.s.,2966996
182160,Martin Nový,1322758
182161,Valza, a.s.,2607603
182163,Martin Nový,2823496
182165,GreenStyles, a.s.,965372
182166,Big žirafa s.r.o.,1024551
182169,GreenStyles, a.s.,976740
182171,BlueNet, s.r.o.,1339842
182172,GreenStyles, a.s.,1834374
182173,Martin Nový,2415260
182174,GreenStyles, a.s.,2769128
182176,Big žirafa s.r.o.,2298211
182177,ZCZ, s.r.o.,4502
182178,Epic Internet a.s.,-9630
182179,ZCZ, s.r.o.,204302
182180,Valza, a.s.,2210808
182183,GreenStyles, a.s.,455071
182185,Martin Nový,1111322
182186,Big žirafa s.r.o.,1834669
182187,Epic Internet a.s.,2771540
182188,GreenStyles, a.s.,165236
182189,Big žirafa s.r.o.,262838
182190,Epic Internet a.s.,2443047
182191,Martin Nový,1748418
182193,Epic Internet a.s.,1134951
182199,Valza, a.s.,2278616
182200,Valza, a.s.,-787
182201,Epic Internet a.s.,2388806
182202,BlueNet, s.r.o.,2455684
182204,Big žirafa s.r.o.,1045986
182205,BlueNet, s.r.o.,1116365
182206,ZCZ, s.r.o.,45411
182207,BlueNet, s.r.o.,136496
182208,Big žirafa s.r.o.,2797565
182209,Valza, a.s.,2392117
182210,Martin Nový,1447989
182212,Martin Nový,1238329
182215,ZCZ, s.r.o.,327505
182216,Epic Internet a.s.,1400089
182217,Big žirafa s.r.o.,2647144
182218,Martin Nový,2188447
182220,Valza, a.s.,1365023
182221,GreenStyles, a.s.,2417760
182222,Martin Nový,2853992
182223,Martin Nový,2856734
182225,Martin Nový,2811761
182226,Valza, a.s.,1402116
182227,Martin Nový,527769
182229,GreenStyles, a.s.,1941173
182230,Martin Nový,423757
182231,Valza, a.s.,2686445
182232,Valza, a.s.,1166505
182233,Valza, a.s.,2257515
182234,BlueNet, s.r.o.,469460
182236,BlueNet, s.r.o.,1150537
182237,ZCZ, s.r.o.,662534
182238,Valza, a.s.,850646
182239,GreenStyles, a.s.,781497
182241,Epic Internet a.s.,1148050
182242,GreenStyles, a.s.,2331824
182243,Big žirafa s.r.o.,1433083
182244,Epic Internet a.s.,517228
182245,Martin Nový,1641128
182246,Valza, a.s.,1603381
182247,ZCZ, s.r.o.,9713
182249,Valza, a.s.,2942981
182252,Valza, a.s.,1037559
182253,BlueNet, s.r.o.,1453080
182254,Big žirafa s.r.o.,726629
182255,Valza, a.s.,868600
182256,BlueNet, s.r.o.,1472890
182258,BlueNet, s.r.o.,751446
